country name,Element,Unit,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018
Peru,Production,tonnes,152666,155500,143150,146720,145002,152180,112912,136703,125374,122225,120080,122635,127364,126324,127497,115385,104401,102060,77148,116678,102711,83720,87442,92303,121143,130690,152804,159305,88487,87275,93787,125595,127035,125048,146152,123689,146640,169613,187746,181805,186853,190453,170411,178460,191082,181552,206936,226265,219454,214140,226218.46,230105,218904,214849,188468.76,192099,195245.82
Tanzania,Production,tonnes,17578,24514,27099,33019,38270,35099,44000,41000,57000,60000,88000,85000,82000,69000,64000,55000,70000,87000,90000,95000,58000,74000,83000,72000,71640,72000,76000,97000,106000,84000,64000,59000,59000,75300,83600,78500,111500,82400,32700,89000,77000,74000,67000,102000,110000,82800,43360,82370,62370,112658,108887,103973,167000,72483,76000,50467,56651
Albania,Production,tonnes,146407,61763,124208,119728,146084,163261,203184,240177,226582,259431,285000,333000,330000,310000,485000,490000,490000,490530,495900,488700,524000,583000,600000,603000,576000,593000,637000,613000,613000,297340,251862,464498,420000,405342,271150,388391,395067,272000,341100,282200,295300,259900,253400,260000,230900,249500,335000,333100,294900,292800,300000,294000,280000,275000,275000,274877,240294
Algeria,Production,tonnes,1507000,1589664,1162456,1325240,630051,1265506,1533794,1326190,1434548,1317392,1655854,1158077,1091111,1847793,1629687,827123,1083019,1080435,1511426,1218380,977070,789786,886469,1478018,1228800,1174800,614420,1152100,750080,1869400,1836750,1016500,713964,1499920,2982604,661514,2280000,1470000,760361,2039213,1501803,2964852,2730700,2414728,2687930,2318963,1111033,2953117,2605178,2910890,3432231,3299049,2436197,2656731,2440097,2436503,3981219.15
Bangladesh,Production,tonnes,39624,44704,34544,34544,35600,53900,58900,93500,104700,111800,115012,90963,110929,116714,218174,259456,347997,494031,822706,1092513,967389,1095370,1211132,1463630,1041825,1090990,1048015,1021950,890000,1004290,1065050,1175630,1131000,1244990,1369130,1454100,1802815,1908000,1840000,1673000,1606000,1506710,1253380,975985,735000,737000,844000,849046,901490,972085,995356,1255000,1303000,1348000,1348186,1311473,1099373
Bolivia,Production,tonnes,40000,55000,57000,55000,41000,27000,45000,53200,44190,47100,53590,57000,62460,61750,69815,55610,56590,67755,60140,66620,66000,45647,78490,74333,81200,76655,62650,60794,54480,108733,95727,145129,82323,122805,98820,168547,175426,150012,101510,112659,119102,112930,116037,131198,143677,167095,199990,201508,241397,182927,145151.13,208735.26,159670,337599,329437,154293,301688.85
Bulgaria,Production,tonnes,2089680,1894270,2120540,2923010,3193356,3254163,2549202,2568708,3031719,3094544,3581633,3258147,3034078,2996135,3510835,3384211,3466215,3354760,3846572,4442757,4912580,3608421,4835576,3067514,4326575,4148650,4743133,5425026,5292233,4497045,3442555,3618220,3754310,3435250,1802110,3574840,3203359,2642973,2781242,4077497,4122765,2003937,3961178,3478066,3301882,2390610,4632210,3976852,4094597,4458492,4455104,5504941,5347078,5011597,5662721,6132671,5954520
Denmark,Production,tonnes,643992,494060,541454,563769,400474,420312,464851,428455,512491,585206,592215,542247,591572,519381,592557,605645,642428,589886,652372,834765,1206971,1547845,2445877,1972165,2177228,2284719,2080441,3224153,3953412,3669852,3583011,4334000,3725194,4598500,4757742,4964703,4928375,4470745,4693422,4663938,4056240,4701382,4758500,4887200,4801600,4519200,5018700,5940400,5059900,4831000,4525100,4145200,5153300,5029300,4201500,4834100,2623930
Egypt,Production,tonnes,1593098,1493000,1499881,1272000,1465000,1299000,1526000,1277000,1519000,1732000,1618000,1938112,1886000,2033265,1960000,1697000,1933000,1856000,1736440,1938327,2016992,1996000,1815176,1872000,1928000,2721000,2838000,3182000,4268049,4482523,4617997,4832598,4437055,5722441,5735367,5849134,6093151,6346642,6564053,6254583,6624868,6844692,7177855,8140960,8274230,7379000,7977051,8522995,7177399,8407126,8795483,9460200,8800000,9607736,9342538,8421071,8348629
France,Production,tonnes,14053770,10248960,13837700,14760000,11296620,14287540,14984900,14446000,12649000,15241000,17996000,17851008,19007008,15013000,16126000,17450000,20967712,19544000,23781008,23762000,25358000,24745008,32977008,28784000,26474784,27414576,29038496,31822304,33345808,34362204.4,32490754.5,29200262.6,30493197.1,30869728.6,35935157.3,33862197.6,39801138.2,36950991.1,37355956.9,31545319.3,38936514.8,30479361.5,39690179.5,36886102.6,35363563.4,32763445.9,39006372,38336864.7,38207431,35992794.3,37885741.8,38651472,38950202,42750027.4,29316331,38677896,35424140
Germany,Production,tonnes,5906465,6135981,6551198,6149342,6053960,7830615,8575084,7987161,7794037,9631772,9351589,9995657,10914574,9749836,9416595,10149096,11265143,11177128,11253864,11254906,11370906,12548219,14125965,13801524,14601295,13971181,15620731,14509067,15241870,16611967,15541661,15766533,16480510,17763312,18921683,19826755,20187491,19615366,21621548,22837837,20817740,19259811,25427210,23692700,22427900,20828077,25988564,25192350,23782955,22782700,22409300,25019100,27784700,26549500,24463800,24481600,20263500
Hungary,Production,tonnes,1973137,1592851,2142857,2453283,2348683,3021625,3360554,3585385,2722523,3921939,4094570,4502385,4970811,4007324,5148100,5319049,5677255,3708866,6077330,4613863,5761862,5985098,7391963,6578346,5793015,5747761,7025775,6539521,6198256,6007888,3453112,3020655,4873751,4614200,3911820,5258817,4898634,2638970,3692470,5196760,3910244,2941248,6006820,5088219,4376235,3986708,5630833,4419163,3745190,4107000,4010990,5058300,5261890,5331426,5603184,5246258,5258430
India,Production,tonnes,12072000,10776000,9853000,12257000,10394000,11393000,16540100,18651600,20093296,23832496,26409904,24734608,21778000,24104400,28846304,29009904,31749200,35507808,31830000,36312608,37451808,42793904,45476000,44068800,47051808,44322896,46169408,54110208,49849504,55134496,55689504,57210100,59840000,65767400,62097400,69350200,66345000,71287504,76368896,69680896,72766304,65760800,72156200,68636896,69354496,75806704,78570200,80679400,80803600,86874000,94880000,93510000,95850000,86530000,92290000,98510220,99869520
Iran,Production,tonnes,2754740,2468140,2622578,3647713,4380982,3800000,4400000,4100000,4262000,3700000,4546000,4600000,4700000,5507000,6044000,5517200,5660000,6025148,5849800,5652852,6660072,5956162,6206681,6630522,7556390,7601280,7260230,6010024,8011675,8792666,10178679.4,10732341.7,10869560,11227545.9,10015183,10044716,11955080.3,8673197,8087756,9458618,12450241.5,13439565,14568481,14307970,14663745,15886608.5,6999977.4,12093027.5,12142987.9,8677966,8816001,9304246,10578698.6,11522318,14592003,12704746,13012380.31
Iraq,Production,tonnes,1085494,488254,807013,1005288,825955,860000,1537000,1183000,1236000,822300,2625000,957000,1339000,845400,1302400,695700,909800,684800,975600,902000,965100,841000,470900,1405500,1036000,722200,929200,491400,1195800,1476400,1006000,1187000,1342000,1236000,1300000,1063000,1130000,800000,384000,903400,2589000,2329000,1832000,2228000,2086000,2202800,1255000,1700390,2748840,2808900,3062312,4178379,5055111,2645061,3052939,2974136,2177885
Israel,Production,tonnes,51700,54700,126500,150000,100600,221600,175000,155800,125000,199500,301400,241500,274000,243300,205500,220000,167000,133200,253200,215000,147000,335000,130000,127700,168500,298000,211000,201700,291200,180000,254100,217000,103230,242000,185000,116000,155000,29000,94000,157970,177275,184300,154300,200800,131200,158921,75734,132963,112324.32,141866,222487,178200,139800,173000,168000,72200,70500
Japan,Production,tonnes,1631000,715500,1244000,1287000,1024000,996900,1012000,757900,473600,440300,283900,202300,231700,240700,222400,236400,366700,541300,582800,587400,741800,695300,740500,874200,875700,863700,1021000,984500,951500,759000,758700,637800,564800,443600,478100,573100,569500,583100,688200,699900,827800,855900,860300,874700,837200,910100,881200,674200,571300,746300,857800,811700,852400,1004000,790800,906700,764900
